commercial_area,night_sales,total_shops,night_per_shop,total_sales,night_index
월드순복음교회,1320067305.0,798.0,1654219.680451128,4480806892.0,0.29460481935895044
모래내우체국,1660793838.0,960.0,1729993.58125,5640953000.0,0.29441724439115163
고분다리전통시장,669400820.0,750.0,892534.4266666666,2274545099.0,0.29430096606758904
신대방삼거리역,10300471390.0,2634.0,3910581.3933181474,35028354696.0,0.29406095374431745
신도림역,13663396057.0,5736.0,2382042.5482914923,46473288189.0,0.29400536500522595
화양사거리,2659549553.0,2190.0,1214406.1885844748,9059797658.0,0.2935550719117396
창동역 2번,2578554206.0,1500.0,1719036.1373333333,8794505067.0,0.29320060496361755
보문역 8번,1113233153.0,624.0,1784027.4887820513,3804576058.0,0.2926037319346449
영등포역(영등포),70273463035.0,11850.0,5930250.04514768,240359673990.0,0.2923679412126498
전농119안전센터,289254864.0,162.0,1785523.851851852,989409379.0,0.2923510430963885
신당역,16812178671.0,5700.0,2949505.03,57536133314.0,0.29220209462545116
방학중학교,1381218498.0,1140.0,1211595.1736842105,4733273865.0,0.2918103911572419
화곡역 2번,311751988.0,672.0,463916.6488095238,1069166047.0,0.29158425753862344
수송초등학교,2342781728.0,2148.0,1090680.5065176908,8048801726.0,0.29107211331000055
공릉역,12292837688.0,2334.0,5266854.193658954,42294264506.0,0.2906502295661412
동대문역사문화공원역 5번,3379229679.0,1218.0,2774408.603448276,11644611730.0,0.29019685304698434
난우초등학교,1948243926.0,912.0,2136232.375,6716111813.0,0.2900850939123577
화곡역 5번,787998485.0,1854.0,425026.15156418557,2716942773.0,0.29003131491426526
잠실 관광특구,97708364511.0,18504.0,5280391.510538262,336940995731.0,0.28998657257191224
시흥초등학교(시흥1동우체국),1844240506.0,1188.0,1552390.9983164982,6365447463.0,0.2897267657489737
방천골목시장,670956683.0,480.0,1397826.4229166666,2317542123.0,0.2895121846292327
회기역,6646064735.0,2328.0,2854838.803694158,22969517277.0,0.2893428126874431
길음역 7번,482256078.0,408.0,1182000.1911764706,1674112316.0,0.28806674043965397
명지대학교,7889996403.0,3888.0,2029320.0625,27454158788.0,0.28738802248235906
가락시장,17796656246.0,2100.0,8474598.212380953,61954222808.0,0.2872549350050431
독산동정훈단지,997313734.0,534.0,1867628.7153558054,3474372716.0,0.28704857409431717
노량진역(노량진),31277778902.0,6666.0,4692136.04890489,108967817312.0,0.2870368488013713
양화초등학교,158305061.0,306.0,517336.8006535948,552934406.0,0.28629989250479015
상봉역,17998237781.0,3648.0,4933727.46189693,62940423891.0,0.28595672968725605
서울금융고등학교,420158146.0,198.0,2122010.8383838385,1470988167.0,0.28562986122239825
동의초등학교,161731229.0,192.0,842350.1510416666,566611115.0,0.2854360331424137
응암3동주민센터,1395410244.0,498.0,2802028.6024096385,4889119219.0,0.2854113760566901
오!도봉거리 상점가,264104881.0,420.0,628821.1452380952,926158204.0,0.2851617357157266
전곡마을마당공원,910784388.0,1188.0,766653.5252525252,3195120316.0,0.28505480167339026
새마을시장,12213566681.0,3534.0,3456017.7365591396,42872107256.0,0.2848837498952351
홍대 걷고싶은 거리,21547502963.0,5472.0,3937774.6642909357,75829238216.0,0.28415824120007405
샤로수길,15847485099.0,7734.0,2049067.1190845617,55812366219.0,0.28394218293517
"총신대입구역(이수, 총신대)",33706723906.0,8490.0,3970167.715665489,119509539285.0,0.28204212071822987
용강동 상점가,13839913632.0,2286.0,6054205.43832021,49105657568.0,0.28183949299192085
우사단길,3497654563.0,2136.0,1637478.7279962546,12418924017.0,0.28163909838019263
응암시장(신응암시장),591646309.0,426.0,1388841.1009389672,2102318020.0,0.28142569457688427
역삼역 8번,1019971603.0,294.0,3469291.1666666665,3625898067.0,0.28130178624792546
방학역 1번,2776431271.0,2586.0,1073639.3159319411,9876655120.0,0.2811104809540013
